,Model,R,STD,MSE,Portion,NumSamples
0,linear_regresson,0.7575137965481251,65.12776216689517,4229.843112076363,0.001,96.0
1,decision_tree,0.7905451076540939,44.029590965128584,1933.219866999432,0.001,96.0
2,gradient_boosting,0.7245992417828758,52.511858255482004,2749.8355483953756,0.001,96.0
3,neural_network,0.917016099158106,24.966218307523246,621.5806341995229,0.001,96.0
4,linear_regresson,0.7345740946692895,76.6541428772821,5859.535793527859,0.005,481.0
5,decision_tree,0.8689333819467696,31.25837540156182,974.37190487623,0.005,481.0
6,gradient_boosting,0.8992492100871626,24.639315929242677,605.4095119903066,0.005,481.0
7,neural_network,0.9573517983374342,16.970767581860372,287.2069330055297,0.005,481.0
8,linear_regresson,0.7253810831132745,79.2262522807089,6259.363497528627,0.01,962.0
9,decision_tree,0.9251848501073531,21.098822121799962,443.9237385525575,0.01,962.0
10,gradient_boosting,0.919696533896793,21.885591040318552,477.648597697449,0.01,962.0
11,neural_network,0.9738404312532988,13.733711887188887,188.09091208309016,0.01,962.0
12,linear_regresson,0.7274097816112606,77.57209090707173,6000.714206340296,0.02,1925.0
13,decision_tree,0.9012050113392968,24.13743418589825,580.9973520533513,0.02,1925.0
14,gradient_boosting,0.9340913184853045,19.5466025217817,381.00836550523235,0.02,1925.0
15,neural_network,0.9813517407492293,10.296225378760836,105.71777855843247,0.02,1925.0
16,linear_regresson,0.7235820069101683,81.1554380574452,6567.910112056111,0.03,2887.0
17,decision_tree,0.8799666817803086,27.258897542208903,740.9834743965965,0.03,2887.0
18,gradient_boosting,0.9075370187153011,23.901272341063144,569.68395613411,0.03,2887.0
19,neural_network,0.9919657194996501,13.66008697207044,186.07964837318258,0.03,2887.0
20,linear_regresson,0.7257871216754683,78.000044072146,6067.106856158784,0.04,3850.0
21,decision_tree,0.9115541516229283,22.780826391091164,517.5244786969771,0.04,3850.0
22,gradient_boosting,0.9255963601844355,19.73843300902106,388.5234994914687,0.04,3850.0
23,neural_network,0.9952078788906179,11.5308958834332,132.59222220825833,0.04,3850.0
24,linear_regresson,0.7302784955285677,76.58907647043551,5849.592505053677,0.05,4812.0
25,decision_tree,0.9003204114476092,23.01703467235073,528.3122632051171,0.05,4812.0
26,gradient_boosting,0.9020076125989879,22.98185410811141,526.6984915291657,0.05,4812.0
27,neural_network,0.9951429692828612,8.315994588824209,68.96366665134975,0.05,4812.0
28,linear_regresson,0.7304576680820105,77.48083848832245,5986.604554151142,0.1,9625.0
29,decision_tree,0.934769504457893,19.445883335445426,377.0919831993769,0.1,9625.0
30,gradient_boosting,0.9389857065697971,18.87009221686128,355.0912681054242,0.1,9625.0
31,neural_network,0.992829868126487,11.182809010549418,124.70784176262963,0.1,9625.0
32,linear_regresson,0.7265771351643694,78.28242677389873,6111.115735106343,0.2,19250.0
33,decision_tree,0.9422226608416419,17.537399824822817,306.70605819176313,0.2,19250.0
34,gradient_boosting,0.9411990782420449,17.662320838679218,311.0910285823074,0.2,19250.0
35,neural_network,0.9970565091367832,4.2880253978123255,18.336086362804966,0.2,19250.0
36,linear_regresson,0.7277957695874433,78.22014735701507,6101.395920740498,0.3,28874.0
37,decision_tree,0.9591140323307404,17.034167259835733,289.3568463076262,0.3,28874.0
38,gradient_boosting,0.9563885280901677,16.90641709943409,285.0329754202038,0.3,28874.0
39,neural_network,0.9971655118916511,10.864049049803034,117.69970741831365,0.3,28874.0
40,linear_regresson,0.7287812227811289,77.32954742943369,5963.248186458703,0.4,38499.0
41,decision_tree,0.9744205991261068,12.304272803259666,150.97458719143265,0.4,38499.0
42,gradient_boosting,0.974670192013951,12.222961139620635,148.98577685672987,0.4,38499.0
43,neural_network,0.9953984820054489,7.116964921589189,50.51049194597791,0.4,38499.0
44,linear_regresson,0.7279233321788303,77.79907142028222,6035.882470764128,0.5,48124.0
45,decision_tree,0.9650238187086088,15.667275363869777,244.7816742236338,0.5,48124.0
46,gradient_boosting,0.9646422706413045,15.84269305365592,250.29372618348995,0.5,48124.0
47,neural_network,0.9979409785879061,4.377301959367478,19.10754807558381,0.5,48124.0
48,linear_regresson,0.7283967095683026,77.78658744283419,6033.9455382627975,0.6,57749.0
49,decision_tree,0.967190480928046,13.784680014023262,189.48957696932075,0.6,57749.0
50,gradient_boosting,0.9668123206835538,13.91680928422812,193.13958737398477,0.6,57749.0
51,neural_network,0.9935536634800605,10.19209945964811,103.59033891926106,0.6,57749.0
52,linear_regresson,0.7283558781086904,77.60775314798403,6006.232894932095,0.7,67374.0
53,decision_tree,0.9676327712163708,13.735859624058072,188.14974561290714,0.7,67374.0
54,gradient_boosting,0.9708706504701605,12.805571866501852,163.5271634091767,0.7,67374.0
55,neural_network,0.9981240108624864,3.452138754777132,11.884158476728006,0.7,67374.0
56,linear_regresson,0.7284519695098716,77.63044663396974,6009.746005021317,0.75,72186.0
57,decision_tree,0.966812286562231,13.67693661929058,186.538988078958,0.75,72186.0
58,gradient_boosting,0.9656988234569437,13.988214266745242,195.12661021022953,0.75,72186.0
59,neural_network,0.9980604856778862,5.300330042126178,28.015461059477897,0.75,72186.0
60,linear_regresson,0.7288352126289954,77.68319074139846,6017.915128976258,0.8,76998.0
61,decision_tree,0.9709157252662307,12.904977565194658,166.07583916384917,0.8,76998.0
62,gradient_boosting,0.9771758767100052,11.31634784284795,127.70400703227295,0.8,76998.0
63,neural_network,0.996370155930773,8.439661981770652,71.03003910441565,0.8,76998.0
64,linear_regresson,0.7282040463669115,77.80503236242241,6036.8074413039385,0.85,81811.0
65,decision_tree,0.9812603558132161,10.25981659458529,104.97143700854285,0.85,81811.0
66,gradient_boosting,0.9746545846168005,11.693491409292822,136.35791427992942,0.85,81811.0
67,neural_network,0.996064204481023,8.975334099476088,80.33285380222601,0.85,81811.0
68,linear_regresson,0.7283669317390242,77.72468642638755,6024.34597208005,0.9,86623.0
69,decision_tree,0.9744405944395619,12.013655244626305,143.92700146913512,0.9,86623.0
70,gradient_boosting,0.9762254831617447,11.907546141501884,141.39579495890752,0.9,86623.0
71,neural_network,0.9966445531239303,5.588460919246609,31.144142958596778,0.9,86623.0
72,linear_regresson,0.7281752750575147,77.74499867935727,6027.495139598671,0.93,89511.0
73,decision_tree,0.9754924704560681,12.001669576307053,143.63996130602413,0.93,89511.0
74,gradient_boosting,0.9738475686267027,11.964893626527092,142.7610164955138,0.93,89511.0
75,neural_network,0.9959698363375739,6.149848522988781,37.71557953110812,0.93,89511.0
76,linear_regresson,0.7279075638878906,77.86823822602568,6046.619572968353,0.96,92398.0
77,decision_tree,0.9701677384682181,13.347716416116276,177.66664037637932,0.96,92398.0
78,gradient_boosting,0.9663441340615935,13.998496928904215,195.41358872335024,0.96,92398.0
79,neural_network,0.9971703649011975,6.09599677852408,37.05795123287658,0.96,92398.0
80,linear_regresson,0.7280820676437573,77.78274917741577,6033.35008051456,1.0,96248.0
81,decision_tree,0.9698495271586812,13.714065905961462,187.55317144062968,1.0,96248.0
82,gradient_boosting,0.9698340764888124,13.890636178475175,192.41380184986667,1.0,96248.0
83,neural_network,0.9952827685627704,10.80485101354153,116.4205142986493,1.0,96248.0
